_id,category,description,image,price,colors,company,featured,id,name,createdAt,updatedAt,__v
655f9063aa0ad69411002821,jewelery,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.",https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,695,,,false,5,,2023-11-23T17:48:19.498Z,2023-11-23T17:48:19.498Z,0
655f9063aa0ad69411002822,jewelery,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,168,,,false,6,,2023-11-23T17:48:19.500Z,2023-11-23T17:48:19.500Z,0
655f9063aa0ad69411002823,jewelery,"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day...",https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,9.99,,,false,7,,2023-11-23T17:48:19.501Z,2023-11-23T17:48:19.501Z,0
655f9063aa0ad69411002824,jewelery,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,10.99,,,false,8,,2023-11-23T17:48:19.501Z,2023-11-23T17:48:19.502Z,0
655f9063aa0ad69411002825,electronics,"USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10, Windows 8.1, Windows 7; Reformatting may be required for other operating systems; Compatibility may vary depending on user’s hardware configuration and operating system",https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,64,,,false,9,,2023-11-23T17:48:19.504Z,2023-11-23T17:48:19.504Z,0
655f9063aa0ad69411002826,electronics,"Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5” hard drive; Based on published specifications and internal benchmarking tests using PCMark vantage scores) Boosts burst write performance, making it ideal for typical PC workloads The perfect balance of performance and reliability Read/write speeds of up to 535MB/s/450MB/s (Based on internal testing; Performance may vary depending upon drive capacity, host device, OS and application.)",https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,109,,,false,10,,2023-11-23T17:48:19.505Z,2023-11-23T17:48:19.505Z,0
655f9063aa0ad69411002827,electronics,"3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance. The advanced SLC Cache Technology allows performance boost and longer lifespan 7mm slim design suitable for Ultrabooks and Ultra-slim notebooks. Supports TRIM command, Garbage Collection technology, RAID, and ECC (Error Checking & Correction) to provide the optimized performance and enhanced reliability.",https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,109,,,false,11,,2023-11-23T17:48:19.506Z,2023-11-23T17:48:19.506Z,0
655f9063aa0ad69411002828,electronics,"Expand your PS4 gaming experience, Play anywhere Fast and easy, setup Sleek design with high capacity, 3-year manufacturer's limited warranty",https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,114,,,false,12,,2023-11-23T17:48:19.507Z,2023-11-23T17:48:19.507Z,0
655f9063aa0ad69411002829,electronics,21. 5 inches Full HD (1920 x 1080) widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate: 75Hz - Using HDMI port Zero-frame design | ultra-thin | 4ms response time | IPS panel Aspect ratio - 16: 9. Color Supported - 16. 7 million colors. Brightness - 250 nit Tilt angle -5 degree to 15 degree. Horizontal viewing angle-178 degree. Vertical viewing angle-178 degree 75 hertz,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,599,,,false,13,,2023-11-23T17:48:19.507Z,2023-11-23T17:48:19.507Z,0
655f9063aa0ad6941100282a,electronics,"49 INCH SUPER ULTRAWIDE 32:9 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT (QLED) TECHNOLOGY, HDR support and factory calibration provides stunningly realistic and accurate color and contrast 144HZ HIGH REFRESH RATE and 1ms ultra fast response time work to eliminate motion blur, ghosting, and reduce input lag",https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,999.99,,,false,14,,2023-11-23T17:48:19.508Z,2023-11-23T17:48:19.508Z,0
655f9063aa0ad6941100282b,women's clothing,"Note:The Jackets is US standard size, Please choose size as your usual wear Material: 100% Polyester; Detachable Liner Fabric: Warm Fleece. Detachable Functional Liner: Skin Friendly, Lightweigt and Warm.Stand Collar Liner jacket, keep you warm in cold weather. Zippered Pockets: 2 Zippered Hand Pockets, 2 Zippered Pockets on Chest (enough to keep cards or keys)and 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design: Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and water,for a comfortable fit. 3 in 1 Detachable Design provide more convenience, you can separate the coat and inner as needed, or wear it together. It is suitable for different season and help you adapt to different climates",https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,56.99,,,false,15,,2023-11-23T17:48:19.509Z,2023-11-23T17:48:19.509Z,0
655f9063aa0ad6941100282c,women's clothing,"100% POLYURETHANE(shell) 100% POLYESTER(lining) 75% POLYESTER 25% COTTON (SWEATER), Faux leather material for style and comfort / 2 pockets of front, 2-For-One Hooded denim style faux leather jacket, Button detail on waist / Detail stitching at sides, HAND WASH ONLY / DO NOT BLEACH / LINE DRY / DO NOT IRON",https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,29.95,,,false,16,,2023-11-23T17:48:19.510Z,2023-11-23T17:48:19.510Z,0
655f9063aa0ad6941100282d,women's clothing,"Lightweight perfet for trip or casual wear---Long sleeve with hooded, adjustable drawstring waist design. Button and zipper front closure raincoat, fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things, it covers the hips, and the hood is generous but doesn't overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.",https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,39.99,,,false,17,,2023-11-23T17:48:19.510Z,2023-11-23T17:48:19.510Z,0
655f9063aa0ad6941100282e,women's clothing,"95% RAYON 5% SPANDEX, Made in USA or Imported, Do Not Bleach, Lightweight fabric with great stretch for comfort, Ribbed on sleeves and neckline / Double stitching on bottom hem",https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,9.85,,,false,18,,2023-11-23T17:48:19.511Z,2023-11-23T17:48:19.511Z,0
655f9063aa0ad6941100282f,women's clothing,"100% Polyester, Machine wash, 100% cationic polyester interlock, Machine Wash & Pre Shrunk for a Great Fit, Lightweight, roomy and highly breathable with moisture wicking fabric which helps to keep moisture away, Soft Lightweight Fabric with comfortable V-neck collar and a slimmer fit, delivers a sleek, more feminine silhouette and Added Comfort",https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,7.95,,,false,19,,2023-11-23T17:48:19.512Z,2023-11-23T17:48:19.512Z,0
655f9063aa0ad69411002830,women's clothing,"95%Cotton,5%Spandex, Features: Casual, Short Sleeve, Letter Print,V-Neck,Fashion Tees, The fabric is soft and has some stretch., Occasion: Casual/Office/Beach/School/Home/Street. Season: Spring,Summer,Autumn,Winter.",https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,12.99,,,false,20,,2023-11-23T17:48:19.512Z,2023-11-23T17:48:19.512Z,0
